review_id,question_id,claim_id,evidence_id,question,claim_text,evidence_text,doc_id,page_num,machine_grade,machine_confidence,issue_type,review_question,machine_rationale,human_grade,human_covered_claims,human_decision,human_notes,adjudicator,adjudicated_grade,adjudication_notes
R00011,Q011,Q011-C02,,¿Cuál es el principal efecto adverso de la Apalutamida?,"Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos",,,,,,claim_segmentation_review,"Confirm claim segmentation, evidence grade, scope and direct support.",compound_claim_possible;source_evidence_ids=Q011_E01;Q011_E02,,,uncertain,"rewrite to: Los principales efectos secundarios son: Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos.",,,
R00012,Q012,Q012-C01,Q012-E0011,¿cómo suele tratarse el cáncer de próstata resistente a la castración no metastásico?,"El cáncer de próstata no metastásico que sigue creciendo a pesar del tratamiento con terapia de privación de andrógenos (cáncer de próstata resistente a la castración [CPRC]) suele tratarse con los medicamentos antiandrógenos apalutamida, darolutamida o enzalutamida.","Puede administrarse por sí sola, pero suele combinarse con abiraterona, apalutamida, enzalutamida o docetaxel. Los hombres con enfermedad de bajo volumen también deberían recibir radioterapia en el tumor primario (Parker et al., 2020). Si el cáncer sigue creciendo a pesar del tratamiento con la terapia de privación de andrógenos (CPRC metastásico), pueden utilizarse enzalutamida, abiraterona o docetaxel, dependiendo de los tratamientos que se hayan utilizado previamente (Parker et al., 2020).",prostata_es_esmo_guia-para-pacientes_2022,33,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.6842; text_verified_in=DB_snapshot,3,Q012-C01,accept,La evidencia apoya el claim.,,,
R00013,Q013,Q013-C03,Q013-E0031,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.,* Una opción para los hombres con enfermedad localizada o localmente avanzada que no pueden o no quieren recibir un tratamiento curativo.\ Cáncer de próstata localizado de riesgo intermedio Prostatectomía radical Radioterapia (de haz externo O braquiterapia) Vigilancia activa Se considera tratamiento neoadyuvante + TPA concurrente Diagrama de flujo que muestra los enfoques de tratamiento curativos para el cáncer de próstata localizado de riesgo intermedio. TPA: terapia de privación de andrógenos.,prostata_es_esmo_guia-para-pacientes_2022,27,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.7778; text_verified_in=DB_snapshot,0,,reject,"La evidencia no respalda el claim. La combinación de radioterapia y TPA se presenta en el diagrama para cáncer de próstata localizado de riesgo intermedio, no para enfermedad localmente avanzada. El texto que menciona enfermedad localmente avanzada no confirma esa combinación terapéutica. Evidencia de ámbito clínico incorrecto.",,,
R00014,Q013,Q013-C03,Q013-E0034,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.,"Cáncer de próstata localmente avanzado Radioterapia (de haz externo) + TPA TPA adyuvante + abiraterona TPA neoadyuvante Diagrama de flujo que muestra los enfoques de tratamiento curativos para el cáncer de próstata localmente avanzado. TPA: terapia de privación de andrógenos. Espera vigilante Algunos hombres con enfermedad localmente avanzada no pueden someterse a los tratamientos curativos descritos anteriormente, o pueden optar por no hacerlo.",prostata_es_esmo_guia-para-pacientes_2022,30,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.7778; text_verified_in=DB_snapshot,0,,reject,"La evidencia no respalda el claim: no menciona recidiva tras prostatectomía ni radioterapia en la zona prostática. Además, el claim no responde directamente a la pregunta, que solicita tipos de cáncer tratados con terapia de privación de andrógenos. Marcar el claim para revisión de relevancia o retirada.",,,
R00015,Q013,Q013-C05,Q013-E0029,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata.,"La enfermedad localizada de riesgo alto puede tratarse con prostatectomía radical más linfadenectomía pélvica, en la que los ganglios linfáticos se extirpan de la pelvis (Parker et al., 2020). Radioterapia Los hombres con enfermedad localizada de riesgo bajo o intermedio pueden recibir radioterapia de haz externo o braquiterapia.",prostata_es_esmo_guia-para-pacientes_2022,26,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.7500; text_verified_in=DB_snapshot,0,,uncertain,La evidencia no respalda el claim,,,
R00016,Q013,Q013-C11,Q013-E0016,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,"En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Se puede considerar duraciones cortas de trastuzumab (9 ciclos en pacientes añosas o situaciones de muy bajo riesgo).  Se recomienda valoración FEVI (ecocardio al inicio y cada 3-6 meses durante el tratamiento).,mama_es_hureinasofia_protocolo-cancer-mama_2021,73,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.7000; text_verified_in=DB_snapshot,0,,reject,La evidencia no respalda el claim. Además la evidencia proviene de información sobre el cancer de mama y la pregunta es sobre cáncer de próstata,,,
R00017,Q013,Q013-C11,Q013-E0018,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,"En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Se pautan 6 meses de tratamiento con quimioterapia y posteriormente se plantea la cirugía. Radioterapia tras la cirugía.,mama_es_seom_cancer-mama_2025,20,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.7000; text_verified_in=DB_snapshot,0,,reject,La evidencia no respalda el claim. Además la evidencia proviene de información sobre el cancer de mama y la pregunta es sobre cáncer de próstata,,,
R00018,Q013,Q013-C11,Q013-E0030,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,"En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.","La terapia neoadyuvante es un tratamiento que se administra antes del tratamiento principal y la terapia adyuvante es un tratamiento que se administra después del tratamiento principal. La terapia hormonal puede utilizarse además de la radioterapia en algunos pacientes con enfermedad localizada En pacientes con cáncer de próstata localizado de riesgo intermedio, la terapia neoadyuvante y la terapia concurrente de privación de andrógenos durante un periodo de 4-6 meses pueden utilizarse en combinación con la radioterapia.",prostata_es_esmo_guia-para-pacientes_2022,26,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,2,Q013-C11,uncertain,"La evidencia soporta parcialmente el claim ya que el claim no especifica tipo de cancer (mama, próstata, etc.) mientras que la evidencia sí",,,
R00019,Q013,Q013-C11,Q013-E0060,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,"En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.","Aunque la duración del bloqueo es controvertida, generalmente se inicia al menos 2 meses antes de que se vaya a realizar el tratamiento de radioterapia y se prolonga durante 4-6 meses (pacientes de riesgo intermedio) o 18-24 meses (pacientes de alto riesgo).",prostata_es_seom_cancer-prostata_2025,14,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,La evidencia no soporta el claim,,,
R00020,Q013,Q013-C11,Q013-E0075,¿qué tipos de cáncer de próstata se tratan con terapia de privación de andrógenos?,"En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.","12 Riesgo Bajo e IntermedioGuía para pacientes En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",prostata_es_seor_guia-para-pacientes_v1,13,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,3,Q013-C11,accept,La evidencia soporta el claim,,,
R00021,Q014,Q014-C02,Q014-E0021,¿Para qué sirve el Radium-223?,"In mCRPC patients with symptomatic bone metasta ses and contraindication or progression to docetaxel, radium-223 may be considered","In mCRPC patients with symptomatic bone metastases and contraindication or progression to docetaxel, radium-223 may be considered (I, B).",prostata_en_springer_clinical-guidelines-for-prostate-cancer-treatment_2020,7,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8333; text_verified_in=DB_snapshot,3,Q014-C02,accept,La evidencia soporta el claim,,,
R00022,Q014,Q014-C02,Q014-E0039,¿Para qué sirve el Radium-223?,"In mCRPC patients with symptomatic bone metasta ses and contraindication or progression to docetaxel, radium-223 may be considered","In mCRPC patients with symptomatic bone metasta - ses and contraindication or progression to docetaxel, radium-223 may be considered (I, B).",prostata_en_springer_clinical-guidelines-for-prostate-cancer-treatment_2020,7,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",nearly complete distinctive-token coverage with numeric consistency; best_token_coverage=1.0000; text_verified_in=PDF,3,Q014-C02,accept,La evidencia soporta el claim,,,
R00023,Q015,Q015-C07,Q015-E0082,¿Cómo afecta la prostatectomía radical a la eyaculación?,Problemas de erección,"43 Una guía ESMO para pacientes Cirugía Tras una operación de cáncer de próstata , puede experimentar problemas de erección.",prostata_es_esmo_guia-para-pacientes_2022,43,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,1,,reject,"La evidencia es relacionada con la función sexual tras cirugía, pero no informa sobre la eyaculación. El claim “Problemas de erección” no responde directamente a la pregunta y debe revisarse o retirarse como claim requerido.",,,
R00024,Q015,Q015-C07,Q015-E0089,¿Cómo afecta la prostatectomía radical a la eyaculación?,Problemas de erección,"Sin embargo, en términos de los efec- tos secundarios que más preocupan a los hombres, como pro- blemas urinarios o problemas de erección, parece no haber una diferencia entre la prostatectomía robótica y otros méto- dos.",prostata_es_seor_guia-para-pacientes_v1,17,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,0,,reject,La evidencia no apoya este claim. El claim “Problemas de erección” no responde directamente a la pregunta y debe revisarse o retirarse como claim requerido.,,,
R00025,Q015,Q015-C08,Q015-E0010,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,"El tratamiento del cáncer de mama puede afectar a la fertilidad en mujeres jóvenes, pero hay medidas de preservación de la fertilidad disponibles Mujeres mayores Los médicos utilizarán su edad biológica en lugar de su edad cronológica a la hora de decidir cuál es el mejor tratamiento para usted.",mama_es_esmo_guia-para-pacientes_v1,35,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,"La evidencia no apoya este claim. Además la pregunta solicita información sobre cáncer de próstata, mientras que la evidencia se refiere a cáncer de mama.",,,
R00026,Q015,Q015-C08,Q015-E0011,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,"En alguna ocasión puede producirse una pérdida accidental de medicamento de quimioterapia de la vena a los tejidos circundantes (extravasación), lo que puede causar ampollas o ulceraciones; estos efectos pueden contrarrestarse con antihistamínicos y ungüentos a base de esteroides, así como con paños calientes empapados para aliviar el dolor en la piel. Algunos medicamentos de quimioterapia pueden afectar a la fertilidad. Si esto le preocupa, hable con su médico antes de comenzar el tratamiento.",mama_es_esmo_guia-para-pacientes_v1,40,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,"La evidencia no apoya este claim. Además la pregunta solicita información sobre cáncer de próstata, mientras que la evidencia se refiere a cáncer de mama.",,,
R00027,Q015,Q015-C08,Q015-E0026,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,"Para obtener más información sobre la salud ósea en caso de cáncer de próstata y metástasis óseas, consulte la guía para pacientes de la ESMO sobre la salud ósea relacionada con el cáncer (www.esmo.org/content/download/807933/19063558/1/ ES-La-Salud-Osea-Relacionada-con-el-Cancer-Guia-para-Pacientes.pdf). ""¿Cómo puede afectar el cáncer a la salud ósea?",prostata_es_esmo_guia-para-pacientes_2022,34,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,La evidencia no apoya este claim.,,,
R00028,Q015,Q015-C08,Q015-E0040,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,Estadio II El tumor se ha expandido al otro lóbulo y puede afectar a toda la próstata sin salir de la cápsula que la rodea.,prostata_es_gepac_guia-cancer-de-prostata_2020,52,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,La evidencia no apoya este claim.,,,
R00029,Q015,Q015-C08,Q015-E0041,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,"Esto podría limitar sus opciones de tratamiento, y posiblemente afectar las probabilidades de curar el cáncer. Este método podría recomendarse si el cáncer no está ocasionando ningún síntoma, se espera que su crecimiento sea lento (de acuerdo con la puntuación de Gleason), es pequeño y está confinado dentro de la próstata.",prostata_es_gepac_guia-cancer-de-prostata_2020,62,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,La evidencia no apoya este claim.,,,
R00030,Q015,Q015-C08,Q015-E0058,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,"La congelación también puede afectar la vejiga y los intestinos, lo que puede causar dolor, sensaciones de ardor, y la necesidad de orinar o defecar con frecuencia. La mayoría de los hombres recobran la función normal de los intestinos y de la vejiga con el tiempo. A menudo, la congelación daña los nervios cercanos a la próstata que controlan las erecciones.",prostata_es_gepac_guia-cancer-de-prostata_2020,93,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,La evidencia no apoya este claim.,,,
R00031,Q015,Q015-C08,Q015-E0061,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,· ¿Cómo puede afectar el tratamiento a mis actividades cotidianas?,prostata_es_gepac_guia-cancer-de-prostata_2020,143,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,0,,reject,La evidencia no apoya este claim.,,,
R00032,Q015,Q015-C08,Q015-E0075,¿Cómo afecta la prostatectomía radical a la eyaculación?,El tratamiento del cáncer de próstata puede afectar a la fertilidad.,"Tratamientos para el cáncer de próstata resistente a la castración no metastásico (CPRCnm):Son pacientes que presentan una elevación progresiva y asintomática de PSA a pesar de recibir tratamiento de supresión o privación androgénica y que no presentan metástasis a distancia en las pruebas convencionales. Por tanto, a la hora de valorar el inicio de tratamiento sistémico en estos pacientes es importante tener en cuenta que están asintomáticos y el tratamiento puede acarrear efectos secundarios con riesgo de afectar a su calidad de vida, por lo que es muy importante balancear los posibles riesgos con los beneficios esperados en caso.",prostata_es_seom_cancer-prostata_2025,21,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8000; text_verified_in=DB_snapshot,1,,reject,La evidencia no apoya este claim de manera directa. Menciona efectos secundarios pero no directamente la fertilidad.,,,
R00033,Q015,Q015-C10,Q015-E0086,¿Cómo afecta la prostatectomía radical a la eyaculación?,"Las complicaciones más frecuentes de este tipo de cirugía son la incontinencia urinaria y la disfunción eréctil, que suelen aparecer inmediatamente después de la cirugía con opción de mejorar con el paso del tiempo (unos 12 y 18 meses, respectivamente).","Las complicaciones más frecuentes de este tipo de cirugía son la incontinencia urinaria y la disfunción eréctil, que suelen aparecer inmediatamente después de la cirugía con opción de mejorar con el paso del tiempo (unos 12 y 18 meses, respectivamente).",prostata_es_seom_cancer-prostata_2025,11,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,3,Q015-C10; Q015-C01,accept,La evidencia apoya este claim.,,,
R00034,Q016,Q016-C01,,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Mantener un estado nutritivo equilibrado ayuda, sin duda, a sobrellevar mejor la quimioterapia y tener mayor sensación de bienestar.",,,,,,claim_segmentation_review,"Confirm claim segmentation, evidence grade, scope and direct support.",compound_claim_possible;source_evidence_ids=Q016_E01,,,accept,keep,,,
R00035,Q016,Q016-C02,,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Una dieta equilibrada incluye alimentos de todos los grupos (verduras, frutas, legum bres, pescados y carnes) en cantidades suficientes.",,,,,,claim_segmentation_review,"Confirm claim segmentation, evidence grade, scope and direct support.",compound_claim_possible;source_evidence_ids=Q016_E01,,,accept,keep,,,
R00036,Q016,Q016-C03,,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Algunas personas en quimio o radioterapia mantienen un estado nutri tivo adecuado, sin padecer efectos secundarios (diarrea, estreñimiento, náuseas, etc.) o experimentándolos en forma muy leve.",,,,,,claim_segmentation_review,"Confirm claim segmentation, evidence grade, scope and direct support.",compound_claim_possible;source_evidence_ids=Q016_E01,,,accept,keep,,,
R00037,Q016,Q016-C04,,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Para prevenir los efectos secundarios digestivos de los tratamientos (náuseas, vómitos, etc.) es aconsejable comer una, dos o tres horas antes de la quimio o radioterapia.",,,,,,claim_segmentation_review,"Confirm claim segmentation, evidence grade, scope and direct support.",compound_claim_possible;source_evidence_ids=Q016_E01,,,accept,keep,,,
R00038,Q016,Q016-C04,Q016-E0045,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Para prevenir los efectos secundarios digestivos de los tratamientos (náuseas, vómitos, etc.) es aconsejable comer una, dos o tres horas antes de la quimio o radioterapia.","Para prevenir los efectos secundarios digestivos de los tratamientos (náuseas, vómitos, etc.) es aconsejable comer una, dos o tres horas antes de la quimio o radioterapia.",general_es_pfizer_manual-pacientes_2007,98,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,3,Q016-C04,accept,La evidencia apoya este claim.,,,
R00039,Q016,Q016-C04,Q016-E0046,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Para prevenir los efectos secundarios digestivos de los tratamientos (náuseas, vómitos, etc.) es aconsejable comer una, dos o tres horas antes de la quimio o radioterapia.","Para prevenir los efectos secundarios digestivos de los tratamientos (náuseas, vómitos, etc.) es aconsejable comer una, dos o tres horas antes de la quimio o radioterapia.",general_es_pfizer_manual-pacientes_2007,98,3,high,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",claim text appears directly in evidence; best_token_coverage=1.0000; text_verified_in=PDF,3,Q016-C04,accept,La evidencia apoya este claim.,,,
R00040,Q016,Q016-C05,,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Para evitar o disminuir los efectos adversos de los tratamientos, se recomienda seguir una dieta baja en grasas, es decir, de fácil digestión, el día anterior a la quimioterapia, durante los días de tra tamiento y los dos o tres días posteriores, pasando progresivamente a la dieta habitual.",,,,,,claim_segmentation_review,"Confirm claim segmentation, evidence grade, scope and direct support.",compound_claim_possible;source_evidence_ids=Q016_E01,,,accept,keep,,,
R00041,Q016,Q016-C05,Q016-E0015,¿Qué dieta se recomienda para minimizar los efectos de la quimioterapia?,"Para evitar o disminuir los efectos adversos de los tratamientos, se recomienda seguir una dieta baja en grasas, es decir, de fácil digestión, el día anterior a la quimioterapia, durante los días de tra tamiento y los dos o tres días posteriores, pasando progresivamente a la dieta habitual.","minuir los efectos adversos de los tratamientos, se recomienda seguir una dieta baja en grasas, es decir, de fácil digestión, el día anterior a la quimioterapia, durante los días de tratamiento y los dos o tres días posteriores, pasando progresivamente a la dieta habitual.",general_es_pfizer_manual-pacientes_2007,98,2,medium,machine_evidence_judgment_review,"Confirm claim segmentation, evidence grade, scope and direct support.",substantial but incomplete direct token coverage; best_token_coverage=0.8400; text_verified_in=DB_snapshot,3,Q016-C05,accept,La evidencia apoya este claim.,,,
