question_id,retrieval_method,requested_depth,returned_candidates,zero_results,fewer_than_requested,detected_language,notes
Q007,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q007,lexical_simple,100,0,true,true,,
Q007,lexical_spanish,100,1,false,true,,
Q007,lexical_english,100,0,true,true,,
Q008,semantic_search_persisted,5,5,false,false,,
Q008,hybrid_search_persisted,5,5,false,false,,
Q008,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q008,lexical_simple,100,0,true,true,,
Q008,lexical_spanish,100,0,true,true,,
Q008,lexical_english,100,0,true,true,,
Q009,semantic_search_persisted,5,5,false,false,,
Q009,hybrid_search_persisted,5,5,false,false,,
Q009,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q009,lexical_simple,100,0,true,true,,
Q009,lexical_spanish,100,0,true,true,,
Q009,lexical_english,100,0,true,true,,
Q010,semantic_search_persisted,5,5,false,false,,
Q010,hybrid_search_persisted,5,5,false,false,,
Q010,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q010,lexical_simple,100,0,true,true,,
Q010,lexical_spanish,100,0,true,true,,
Q010,lexical_english,100,0,true,true,,
Q011,semantic_search_persisted,5,5,false,false,,
Q011,hybrid_search_persisted,5,5,false,false,,
Q011,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q011,lexical_simple,100,0,true,true,,
Q011,lexical_spanish,100,0,true,true,,
Q011,lexical_english,100,0,true,true,,
Q012,semantic_search_persisted,5,5,false,false,,
Q012,hybrid_search_persisted,5,5,false,false,,
Q012,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q012,lexical_simple,100,0,true,true,,
Q012,lexical_spanish,100,0,true,true,,
Q012,lexical_english,100,0,true,true,,
Q013,semantic_search_persisted,5,5,false,false,,
Q013,hybrid_search_persisted,5,5,false,false,,
Q013,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q013,lexical_simple,100,0,true,true,,
Q013,lexical_spanish,100,0,true,true,,
Q013,lexical_english,100,0,true,true,,
Q014,semantic_search_persisted,5,5,false,false,,
Q014,hybrid_search_persisted,5,5,false,false,,
Q014,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q014,lexical_simple,100,0,true,true,,
Q014,lexical_spanish,100,0,true,true,,
Q014,lexical_english,100,0,true,true,,
Q015,semantic_search_persisted,5,5,false,false,,
Q015,hybrid_search_persisted,5,5,false,false,,
Q015,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q015,lexical_simple,100,0,true,true,,
Q015,lexical_spanish,100,0,true,true,,
Q015,lexical_english,100,0,true,true,,
Q016,semantic_search_persisted,5,5,false,false,,
Q016,hybrid_search_persisted,5,5,false,false,,
Q016,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q016,lexical_simple,100,0,true,true,,
Q016,lexical_spanish,100,0,true,true,,
Q016,lexical_english,100,0,true,true,,
Q017,semantic_search_persisted,5,5,false,false,,
Q017,hybrid_search_persisted,5,5,false,false,,
Q017,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q017,lexical_simple,100,0,true,true,,
Q017,lexical_spanish,100,0,true,true,,
Q017,lexical_english,100,0,true,true,,
Q018,semantic_search_persisted,5,5,false,false,,
Q018,hybrid_search_persisted,5,5,false,false,,
Q018,language_aware_hybrid_search_persisted,5,0,true,true,,Detected language was not persisted by the original evaluation.
Q018,lexical_simple,100,0,true,true,,
Q018,lexical_spanish,100,0,true,true,,
Q018,lexical_english,100,0,true,true,,
Q019,semantic_search_persisted,5,5,false,false,,
Q019,hybrid_search_persisted,5,5,false,false,,
Q019,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q019,lexical_simple,100,0,true,true,,
Q019,lexical_spanish,100,0,true,true,,
Q019,lexical_english,100,0,true,true,,
Q020,semantic_search_persisted,5,5,false,false,,
Q020,hybrid_search_persisted,5,5,false,false,,
Q020,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q020,lexical_simple,100,0,true,true,,
Q020,lexical_spanish,100,1,false,true,,
Q020,lexical_english,100,0,true,true,,
Q021,semantic_search_persisted,5,5,false,false,,
Q021,hybrid_search_persisted,5,5,false,false,,
Q021,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q021,lexical_simple,100,0,true,true,,
Q021,lexical_spanish,100,0,true,true,,
Q021,lexical_english,100,0,true,true,,
Q022,semantic_search_persisted,5,5,false,false,,
Q022,hybrid_search_persisted,5,5,false,false,,
Q022,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q022,lexical_simple,100,0,true,true,,
Q022,lexical_spanish,100,0,true,true,,
Q022,lexical_english,100,0,true,true,,
Q023,semantic_search_persisted,5,5,false,false,,
Q023,hybrid_search_persisted,5,5,false,false,,
Q023,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q023,lexical_simple,100,0,true,true,,
Q023,lexical_spanish,100,6,false,true,,
Q023,lexical_english,100,0,true,true,,
Q024,semantic_search_persisted,5,5,false,false,,
Q024,hybrid_search_persisted,5,5,false,false,,
Q024,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q024,lexical_simple,100,0,true,true,,
Q024,lexical_spanish,100,8,false,true,,
Q024,lexical_english,100,0,true,true,,
Q025,semantic_search_persisted,5,5,false,false,,
Q025,hybrid_search_persisted,5,5,false,false,,
Q025,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q025,lexical_simple,100,0,true,true,,
Q025,lexical_spanish,100,2,false,true,,
Q025,lexical_english,100,0,true,true,,
Q026,semantic_search_persisted,5,5,false,false,,
Q026,hybrid_search_persisted,5,5,false,false,,
Q026,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q026,lexical_simple,100,0,true,true,,
Q026,lexical_spanish,100,0,true,true,,
Q026,lexical_english,100,0,true,true,,
Q027,semantic_search_persisted,5,5,false,false,,
Q027,hybrid_search_persisted,5,5,false,false,,
Q027,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q027,lexical_simple,100,0,true,true,,
Q027,lexical_spanish,100,0,true,true,,
Q027,lexical_english,100,0,true,true,,
Q028,semantic_search_persisted,5,5,false,false,,
Q028,hybrid_search_persisted,5,5,false,false,,
Q028,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q028,lexical_simple,100,0,true,true,,
Q028,lexical_spanish,100,0,true,true,,
Q028,lexical_english,100,0,true,true,,
Q029,semantic_search_persisted,5,5,false,false,,
Q029,hybrid_search_persisted,5,5,false,false,,
Q029,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q029,lexical_simple,100,0,true,true,,
Q029,lexical_spanish,100,2,false,true,,
Q029,lexical_english,100,0,true,true,,
Q030,semantic_search_persisted,5,5,false,false,,
Q030,hybrid_search_persisted,5,5,false,false,,
Q030,language_aware_hybrid_search_persisted,5,0,true,true,,Detected language was not persisted by the original evaluation.
Q030,lexical_simple,100,0,true,true,,
Q030,lexical_spanish,100,27,false,true,,
Q030,lexical_english,100,0,true,true,,
Q031,semantic_search_persisted,5,5,false,false,,
Q031,hybrid_search_persisted,5,5,false,false,,
Q031,language_aware_hybrid_search_persisted,5,5,false,false,,Detected language was not persisted by the original evaluation.
Q031,lexical_simple,100,0,true,true,,
Q031,lexical_spanish,100,2,false,true,,
Q031,lexical_english,100,0,true,true,,
