question_id,claim_id,claim_text,claim_type,required_for_complete_answer,source_ground_truth,original_claim_id,review_action,review_notes,status,reviewer_type
Q008,Q008-C01,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del tratamiento.",temporal,true,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del tratamiento.

La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia. En ocasiones el nuevo cabello es de características diferentes.",Q008-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q008,Q008-C02,La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia.,temporal,true,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del tratamiento.

La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia. En ocasiones el nuevo cabello es de características diferentes.",Q008-C02,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q008,Q008-C03,En ocasiones el nuevo cabello es de características diferentes.,factual,true,"Si su tratamiento hace caer el cabello, este caerá aproximadamente a las 3 o 4 semanas de la administración del tratamiento.

La caída del cabello suele comenzar a las 2-3 semanas del tratamiento y co mienza a recuperarse a partir de los 3-6 meses del cese de la quimioterapia. En ocasiones el nuevo cabello es de características diferentes.",Q008-C03,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q009,Q009-C01,Docetaxel es el único tratamiento de quimioterapia que se utiliza asociado a la TDA en el CPHSm.,definition,true,"Docetaxel es el único tratamiento de quimioterapia que se utiliza asociado a la TDA en el CPHSm. Se administra por vía intravenosa, normalmente cada 21 días hasta recibir un total de 6 ciclos o sesiones.",Q009-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q009,Q009-C02,"Se administra por vía intravenosa, normalmente cada 21 días hasta recibir un total de 6 ciclos o sesiones.",temporal,true,"Docetaxel es el único tratamiento de quimioterapia que se utiliza asociado a la TDA en el CPHSm. Se administra por vía intravenosa, normalmente cada 21 días hasta recibir un total de 6 ciclos o sesiones.",Q009-C02,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q010,Q010-C01,Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.,factual,true,"Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.

Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas

Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas

Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.

Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",Q010-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q010,Q010-C02,Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas,factual,true,"Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.

Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas

Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas

Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.

Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",Q010-C02,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q010,Q010-C03,Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas,temporal,true,"Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.

Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas

Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas

Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.

Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",Q010-C03,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q010,Q010-C04,"Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.",factual,true,"Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.

Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas

Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas

Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.

Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",Q010-C04,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q010,Q010-C05,"Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",factual,true,"Medicamento que se usa para tratar la osteoporosis y prevenir fracturas u otros problemas óseos causados por metástasis óseas.

Medicamento que ayuda a tratar la osteoporosis y a evitar las fracturas y otros problemas óseos causados por las metástasis óseas

Su uso ha demostrado ser beneficioso en la prevención de la osteoporosis y de las complicaciones de las metástasis óseas [...] Se administra por vía subcutánea cada 4 semanas

Denosumab (Xgeva®, Prolia®) [...] puede ayudar a prevenir o retrasar algunos problemas, como las fracturas.

Al igual que los bifosfonatos, el denosumab también bloquea las células de los huesos llamadas osteoclastos",Q010-C05,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q011,Q011-C01,El principal efecto adverso de Apalutamida es la aparición de un rash o exantema en la piel además de leve cansancio.,definition,true,"El principal efecto adverso de Apalutamida es la aparición de un rash o exantema en la piel además de leve cansancio.

Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos",Q011-C01,keep,keep,active,single_human_reviewer
Q011,Q011-C02,"Los principales efectos secundarios son: Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos.",factual,true,"El principal efecto adverso de Apalutamida es la aparición de un rash o exantema en la piel además de leve cansancio.

Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos",Q011-C02,rewrite,"rewrite to: Los principales efectos secundarios son: Anorexia, Artralgia, Caídas, Diarrea, Disminución de peso, Fatiga, Fracturas, Hipertensión, Sarpullido, Sofocos.",active,single_human_reviewer
Q012,Q012-C01,"El cáncer de próstata no metastásico que sigue creciendo a pesar del tratamiento con terapia de privación de andrógenos (cáncer de próstata resistente a la castración [CPRC]) suele tratarse con los medicamentos antiandrógenos apalutamida, darolutamida o enzalutamida.",factual,true,"El cáncer de próstata no metastásico que sigue creciendo a pesar del tratamiento con terapia de privación de andrógenos (cáncer de próstata resistente a la castración [CPRC]) suele tratarse con los medicamentos antiandrógenos apalutamida, darolutamida o enzalutamida.",Q012-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C01,La enfermedad metastásica suele tratarse con terapia de privación de andrógenos,factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C01,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C02,"La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.",factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C02,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C03,La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.,factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C03,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C04,El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia,factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C04,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C05,La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata.,factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C05,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C06,La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.,temporal,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C06,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C07,"Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata",factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C07,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C08,"es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente",effect_or_symptom,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C08,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C09,La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.,factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C09,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
Q013,Q013-C10,"La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.",factual,true,"La enfermedad metastásica suele tratarse con terapia de privación de andrógenos

La radioterapia, la terapia de privación de andrógenos o las terapias locales como la prostatectomía radical, los ultrasonidos focalizados de alta intensidad, la crioablación o la braquiterapia pueden utilizarse para tratar una recidiva en el cáncer de próstata recurrente.

La enfermedad localmente avanzada suele tratarse con terapia de privación de andrógenos y radioterapia.

El cáncer de próstata localmente avanzado suele tratarse con terapia de privación de andrógenos y radioterapia

La recidiva tras la prostatectomía radical puede tratarse con radioterapia en la zona de la próstata. La terapia de privación de andrógenos también puede administrarse durante un periodo de 6–24 meses.
Habitualmente, la terapia de privación de andrógenos no se administra de forma inmediata; es posible que los pacientes se sometan a observación y que ésta se inicie cuando aparezcan síntomas o metástasis, o si los niveles de PSA aumentan muy rápidamente

La terapia de privación de andrógenos suele ser el tratamiento inicial que se administra a los hombres con cáncer de próstata metastásico.

La terapia hormonal se usa para tratar el cáncer de próstata en diversas situaciones, incluido el cáncer de próstata recurrente y el cáncer de próstata metastásico.

En algunos pacientes con tumores de riesgo intermedio, se asociará a la radioterapia el tratamiento hormonal durante 6 meses.",Q013-C10,not_reviewed,No estaba marcado para revisión de segmentación.,active,not_human_reviewed
